frame,oid,cid,x,y
107,2,2,0.0307,0.0095
108,2,2,0.0307,0.0092
109,2,2,0.0307,0.0088
110,2,2,0.7545,0.0
111,2,2,0.2585,0.0
112,2,2,0.1621,0.0
113,2,2,0.1215,0.0
114,2,2,0.0995,0.0
115,2,2,0.0859,0.0
116,2,2,0.0768,0.0
117,2,2,0.0705,0.0
118,2,2,0.066,0.0
119,2,2,0.0629,0.0
120,2,2,0.0607,0.0
121,2,2,0.0593,0.0
122,2,2,0.0586,0.0
123,2,2,0.0585,0.0
124,2,2,0.0591,0.0
125,2,2,0.0603,0.0
126,2,2,0.0623,0.0
127,2,2,0.0653,0.0
128,2,2,0.0694,0.0
129,2,2,0.0753,0.0
130,2,2,0.0837,0.0
131,2,2,0.0962,0.0
132,2,2,0.116,0.0
133,2,2,0.1512,0.0
134,2,2,0.2292,0.0
135,2,2,0.5347,0.0
136,2,2,0.0307,0.0087
137,2,2,0.0307,0.0091
138,2,2,0.0307,0.0095
139,2,2,0.0307,0.0098
140,2,2,0.0307,0.0101
141,2,2,0.0307,0.0105
142,2,2,0.0307,0.0107
143,2,2,0.0307,0.011
144,2,2,0.0307,0.0112
145,2,2,0.0307,0.0114
146,2,2,0.0307,0.0115
147,2,2,0.0307,0.0116
148,2,2,0.0307,0.0117
149,2,2,0.0307,0.0117
150,2,2,0.0307,0.0117
151,2,2,0.0307,0.0116
152,2,2,0.0307,0.0115
153,2,2,0.0307,0.0113
154,2,2,0.0307,0.0111
155,2,2,0.0307,0.0109
156,2,2,0.0307,0.0106
157,2,2,0.0307,0.0103
158,2,2,0.0307,0.01
159,2,2,0.0307,0.0097
160,2,2,0.0307,0.0093
161,2,2,0.0307,0.009
162,2,2,2.8502,0.0
163,2,2,0.3354,0.0
164,2,2,0.1863,0.0
165,2,2,0.1331,0.0
166,2,2,0.1061,0.0
167,2,2,0.0901,0.0
168,2,2,0.0797,0.0
169,2,2,0.0725,0.0
170,2,2,0.0675,0.0
171,2,2,0.0639,0.0
172,2,2,0.0614,0.0
173,2,2,0.0597,0.0
174,2,2,0.0588,0.0
175,2,2,0.0585,0.0
176,2,2,0.0588,0.0
177,2,2,0.0598,0.0
178,2,2,0.0615,0.0
179,2,2,0.0641,0.0
180,2,2,0.0678,0.0
181,2,2,0.073,0.0
182,2,2,0.0803,0.0
183,2,2,0.0911,0.0
184,2,2,0.1077,0.0
185,2,2,0.1358,0.0
186,2,2,0.1923,0.0
187,2,2,0.3577,0.0
188,2,2,0.0307,0.0086
189,2,2,0.0307,0.009
190,2,2,0.0307,0.0093
191,2,2,0.0307,0.0097
192,2,2,0.0307,0.01
193,2,2,0.0307,0.0103
194,2,2,0.0307,0.0106
195,2,2,0.0307,0.0109
196,2,2,0.0307,0.0111
197,2,2,0.0307,0.0113
198,2,2,0.0307,0.0115
199,2,2,0.0307,0.0116
